algorithm,problem,mean,max,min,std
AE1,1,-239.69962953534727,-237.72381484126328,-241.08339407528717,1.050800556146637
AE1,2,-530.5868353224134,-525.9285116410041,-533.3395778998118,1.9476283975685487
AE1,3,-935.5275130924362,-926.4486591001936,-943.8619993113766,5.360693411870164
AE1,4,-2519.3008030663896,-2472.7719965033716,-2578.1966736157583,34.41927745847606
AE2,1,-241.48370930355114,-241.4837093035511,-241.4837093035511,2.842170943040401e-14
AE2,2,-537.1601553837475,-537.1601553837476,-537.1601553837476,1.1368683772161603e-13
AE2,3,-964.761542111276,-963.9875364405563,-965.0670713027266,0.38974438099130543
AE2,4,-2669.457773557927,-2661.1276323816114,-2674.9645857402365,4.1114863658731124
AE3,1,-241.21977512075574,-240.67520339571954,-241.4837093035511,0.3097679772461382
AE3,2,-536.956808472767,-536.3649696483741,-537.1601553837476,0.27627262222226684
AE3,3,-963.8386549463403,-961.3496724198462,-964.9715675326146,1.1040711258367253
AE3,4,-2669.0517547340896,-2662.287528387583,-2675.786347567654,4.141375591956958
Óptimo,1,-241.4837093035511,-241.4837093035511,-241.4837093035511,0.0
Óptimo,2,-537.1601553837476,-537.1601553837476,-537.1601553837476,0.0
Óptimo,3,-965.0670713027266,-965.0670713027266,-965.0670713027266,0.0
