algorithm,problem,n,m,k,L,U,gs_best_score,best_options
AE1,1,100,10,1,0,10,-222.49962639656255,"{'p_c': 0.7, 'p_m': 0.01}"
AE1,2,150,15,1,0,10,-440.76360089200404,"{'p_c': 0.8, 'p_m': 0.01}"
AE1,3,200,20,1,0,10,-779.4344302965623,"{'p_c': 0.8, 'p_m': 0.01}"
AE1,4,200,20,7,0,10,-2214.51031008835,"{'p_c': 0.7, 'p_m': 0.01}"
AE2,1,100,10,1,0,10,-241.31423560556777,"{'p_c': 0.8, 'p_m': 0.01}"
AE2,2,150,15,1,0,10,-536.9113016109219,"{'p_c': 0.8, 'p_m': 0.01}"
AE2,3,200,20,1,0,10,-960.4296678115452,"{'p_c': 0.8, 'p_m': 0.01}"
AE2,4,200,20,7,0,10,-2631.1608849511576,"{'p_c': 0.7, 'p_m': 0.01}"
AE3,1,100,10,1,0,10,-235.58786501551342,"{'p_c': 0.8, 'p_m': 0.01}"
AE3,2,150,15,1,0,10,-521.2858170139201,"{'p_c': 0.7, 'p_m': 0.05}"
AE3,3,200,20,1,0,10,-931.4816017558051,"{'p_c': 0.8, 'p_m': 0.05}"
AE3,4,200,20,7,0,10,-2484.236013261807,"{'p_c': 0.7, 'p_m': 0.05}"
